Problem,Cargo,Tightness,Success Mean,Success Variance,Computation Time Mean,Computation Time Variance,Heuristic Computation Time Mean,Heuristic Computation Time Variance,States Evaluated Mean,States Evaluated Variance,Heuristic States Evaluated Mean,Heuristic States Evaluated Variance,Dead Ends Mean,Dead Ends Variance
Prob-4-12-4-2-27-1_25-288,2,1.250000,1.0,0.0,0.670333333333,0.0305067816092,0.00153333333333,3.95402298851e-07,1.0,0.0,89.0,0.0,0.0,0.0
Prob-4-12-4-1-20-1_5-102,1,1.500000,1.0,0.0,0.775333333333,7.40229885057e-05,0.00176666666667,2.54022988506e-07,1.0,0.0,120.0,0.0,0.0,0.0
Prob-4-12-4-1-1-1_5-7,1,1.500000,1.0,0.0,0.580666666667,0.000516781609195,0.00173333333333,2.71264367816e-07,1.0,0.0,26.0,0.0,0.0,0.0
Prob-4-12-4-2-28-1_0625-295,2,1.062500,1.0,0.0,0.795,0.00023275862069,0.00193333333333,4.7816091954e-07,1.0,0.0,47.0,0.0,0.0,0.0
Prob-4-12-4-2-21-1_25-258,2,1.250000,0.0,0.0,1800.65366667,0.69038954023,None,None,None,None,None,None,1097.3,51.3896551724
Prob-4-12-4-2-21-1_5-257,2,1.500000,1.0,0.0,0.837,0.028145862069,0.00216666666667,1.04022988506e-06,1.0,0.0,105.0,0.0,0.0,0.0
Prob-4-12-4-1-1-1_0625-10,1,1.062500,1.0,0.0,0.58,7.58620689655e-05,0.00136666666667,2.40229885057e-07,1.0,0.0,26.0,0.0,0.0,0.0
Prob-4-12-4-1-26-1_5-132,1,1.500000,1.0,0.0,0.581,0.000195517241379,0.0013,2.1724137931e-07,1.0,0.0,28.0,0.0,0.0,0.0
Prob-4-12-4-3-1-1_125-309,3,1.125000,0.0,0.0,1799.798,0.597968275862,None,None,None,None,None,None,114.766666667,1.21954022989
Prob-4-12-4-2-26-1_125-284,2,1.125000,1.0,0.0,0.712333333333,0.0385564367816,0.00206666666667,6.16091954023e-07,1.0,0.0,98.0,0.0,0.0,0.0
Prob-4-12-4-3-15-1_25-378,3,1.250000,0.0,0.0,1797.51434783,0.972998418972,None,None,None,None,None,None,116.083333333,368.166666667
Prob-4-12-4-1-17-1_0625-90,1,1.062500,1.0,0.0,0.623,4.24137931034e-05,0.00126666666667,2.02298850575e-07,1.0,0.0,47.0,0.0,0.0,0.0
Prob-4-12-4-2-13-1_5-217,2,1.500000,1.0,0.0,0.98,0.0134896551724,0.00246666666667,1.08505747126e-06,1.0,0.0,146.0,0.0,0.0,0.0
Prob-4-12-4-2-23-1_0625-270,2,1.062500,1.0,0.0,0.71,0.0240896551724,0.0019,6.44827586207e-07,1.0,0.0,73.0,0.0,0.0,0.0
Prob-4-12-4-1-26-2_0-131,1,2.000000,1.0,0.0,0.587,4.93103448276e-05,0.0011,9.31034482759e-08,1.0,0.0,28.0,0.0,0.0,0.0
Prob-4-12-4-3-29-1_25-448,3,1.250000,0.0,0.0,1801.755,0.14045,None,None,None,None,None,None,711.333333333,375240.333333
